Id	Ticket	"Title"	File	Lines
109-a721e051	109	"Check src/main/config/nginx/503.*html by html5validator"	src/main/scripts/execute-command.sh	63-63
226-af195ad8	226	"Introduce app.use-public-hostname property"	src/main/java/ru/mystamps/web/support/spring/security/SecurityConfig.java	93-93
477-6f081e18	477	"Add to collection: integration test for invisible quantity for a series with 1 stamp"	src/main/java/ru/mystamps/web/feature/collection/AddToCollectionForm.java	31-31
493-2b6007d4	493	"SuspiciousActivityDto: port to a new datetime API"	src/main/config/spotbugs-filter.xml	280-280
493-42e1fc4c	493	"AddCollectionDbDto: port to a new datetime API"	src/main/config/spotbugs-filter.xml	262-262
493-6ad65c8d	493	"AddSuspiciousActivityDbDto: port to a new datetime API"	src/main/config/spotbugs-filter.xml	273-273
493-bc96ed45	493	"AddCountryDbDto: port to a new datetime API"	src/main/config/spotbugs-filter.xml	249-249
493-f666e113	493	"AddCategoryDbDto: port to a new datetime API"	src/main/config/spotbugs-filter.xml	236-236
511-f20a64c0	511	"/collection/{slug}: wrap a long caption"	src/main/webapp/WEB-INF/views/collection/info.html	162-162
517-385bf5f0	517	"CategoryService.suggestCategoryForUser(): suggest the most popular category"	src/main/java/ru/mystamps/web/feature/category/CategoryServiceImpl.java	222-222
517-49fc5900	517	"CategoryService.suggestCategoryForUser(): suggest a last created category"	src/main/java/ru/mystamps/web/feature/category/CategoryServiceImpl.java	221-221
517-d58933f7	517	"Add integration tests for category suggestion"	src/main/java/ru/mystamps/web/feature/category/CategoryServiceImpl.java	203-203
592-8fadbb56	592	"GroupByParent: add unit tests"	src/main/java/ru/mystamps/web/support/thymeleaf/GroupByParent.java	35-35
660-32942e08	660	"JdbcSeriesImportDao.addRawContent(): introduce dao"	src/main/java/ru/mystamps/web/feature/series/importing/JdbcSeriesImportDao.java	150-150
663-2b32ef86	663	"Add to collection: add integration test for specifying a price"	src/main/java/ru/mystamps/web/feature/collection/AddToCollectionForm.java	32-32
663-8bbd6c00	663	"/series/{id}(price): must be greater than zero"	src/main/java/ru/mystamps/web/feature/collection/AddToCollectionForm.java	47-47
665-32370c4c	665	"TimedDownloaderService: add unit tests"	src/main/java/ru/mystamps/web/feature/series/TimedDownloaderService.java	30-30
