Id	Issue	State	Created
109-a721e051	760	closed	automatically
226-af195ad8	1093	open	automatically
477-6f081e18	872	open	automatically
493-2b6007d4	1033	open	manually
493-42e1fc4c	933	open	manually
493-6ad65c8d	1032	open	manually
493-bc96ed45	931	open	manually
493-f666e113	930	open	manually
511-f20a64c0	1444	open	automatically
517-385bf5f0	989	open	automatically
517-49fc5900	988	open	automatically
517-d58933f7	987	open	automatically
592-8fadbb56	740	open	automatically
660-32942e08	898	open	automatically
663-2b32ef86	883	open	automatically
663-8bbd6c00	885	open	automatically
665-32370c4c	800	closed	automatically
671-aade0c20	972	open	automatically
671-e8c4f51d	973	open	automatically
687-994e661c	746	open	automatically
687-c6d33b89	745	open	automatically
690-384e961f	1081	open	automatically
694-18bba425	913	open	automatically
694-2b8246eb	902	open	automatically
694-35aab30a	909	open	automatically
694-424e441b	911	open	automatically
694-5e76eadc	916	open	automatically
694-5ff627a7	904	open	manually
694-6574cec0	906	open	automatically
694-8e1ac4c4	910	open	automatically
694-993ff349	908	open	automatically
694-b7a345ad	915	open	automatically
694-d17b3e39	917	open	automatically
694-d360b036	912	open	automatically
694-d39599f4	905	open	automatically
694-d3adec03	907	open	automatically
694-f7d3a238	914	open	automatically
695-0c97d8b1	846	open	automatically
695-18c5a29c	859	open	automatically
695-1c6fc247	865	open	automatically
695-30836e69	839	open	automatically
695-3605c681	853	open	automatically
695-3e442dbc	856	open	automatically
695-6636bb5e	841	open	automatically
695-7d753493	852	open	automatically
695-acc3d320	837	open	automatically
695-b081f579	863	open	automatically
695-c38ae205	866	open	automatically
695-c3acafce	867	open	automatically
695-eb735e9f	847	open	automatically
695-ee1c9a1a	861	open	automatically
695-f2940c60	855	open	automatically
705-eb60edc9	739	open	automatically
709-2eff2f2e	722	open	manually
709-3f7597a9	724	open	automatically
709-51c3200e	723	open	manually
709-64870988	719	open	manually
709-6a277942	728	open	manually
709-74ca36a7	727	open	manually
709-7b960d82	730	open	manually
709-8e67a194	720	open	manually
709-8f32202e	725	open	automatically
709-fd5f9ae4	721	open	manually
709-fe188622	726	open	manually
709-ffbd8602	729	open	automatically
734-10236b8a	757	open	automatically
738-13880c1a	926	open	automatically
749-2a40850f	762	open	automatically
769-4310f3c0	773	open	automatically
769-d2cdc518	775	open	automatically
770-3251a080	774	open	automatically
782-a11927bd	795	open	automatically
785-140bc7bd	1417	open	automatically
785-37a48219	1412	open	automatically
785-4e1225ab	1416	open	automatically
785-70fca94a	1415	open	automatically
785-a8e6066a	1413	open	automatically
785-c0b6c3f6	1418	open	automatically
785-c33d2a08	1414	open	automatically
801-b1837c29	805	closed	automatically
803-64628226	807	open	automatically
819-04650c42	827	closed	automatically
819-38c578c8	825	closed	automatically
834-3f317328	849	open	automatically
857-34fbb536	918	open	automatically
857-719bea28	924	open	automatically
857-83098214	922	open	automatically
857-a6f9cdd0	923	open	automatically
857-aa59724c	919	open	automatically
869-7bf9fe59	1198	closed	manually
869-90e5e0f1	1199	open	automatically
884-03637f5c	888	open	manually
892-9e92b338	1024	open	automatically
927-0bf380a9	1041	open	automatically
927-0de549b6	1044	open	automatically
927-285714a8	1040	open	automatically
927-5e01dc83	1047	open	automatically
927-61bc647b	1046	open	automatically
927-664a2788	1048	open	automatically
